indicator,indicator_type,meta.source,meta.do_notice,meta.desc
8.130.74.111,Intel::ADDR,ABUSE-CH,F,THREATFOX
166.88.239.248,Intel::ADDR,ABUSE-CH,F,THREATFOX
166.88.239.248,Intel::ADDR,ABUSE-CH,F,THREATFOX
8.218.112.112,Intel::ADDR,ABUSE-CH,F,THREATFOX
8.218.112.112,Intel::ADDR,ABUSE-CH,F,THREATFOX
150.158.170.241,Intel::ADDR,ABUSE-CH,F,THREATFOX
150.158.170.241,Intel::ADDR,ABUSE-CH,F,THREATFOX
147.185.221.25,Intel::ADDR,ABUSE-CH,F,THREATFOX
147.185.221.31,Intel::ADDR,ABUSE-CH,F,THREATFOX
147.185.221.31,Intel::ADDR,ABUSE-CH,F,THREATFOX
147.185.221.31,Intel::ADDR,ABUSE-CH,F,THREATFOX
154.219.96.116,Intel::ADDR,ABUSE-CH,F,THREATFOX
110.42.14.195,Intel::ADDR,ABUSE-CH,F,THREATFOX
47.242.144.180,Intel::ADDR,ABUSE-CH,F,THREATFOX
85.120.228.220,Intel::ADDR,ABUSE-CH,F,THREATFOX
196.251.72.219,Intel::ADDR,ABUSE-CH,F,THREATFOX
192.169.69.26,Intel::ADDR,ABUSE-CH,F,THREATFOX
147.185.221.31,Intel::ADDR,ABUSE-CH,F,THREATFOX
81.169.151.12,Intel::ADDR,ABUSE-CH,F,THREATFOX
81.169.151.12,Intel::ADDR,ABUSE-CH,F,THREATFOX
51.34.39.107,Intel::ADDR,ABUSE-CH,F,THREATFOX
51.34.39.107,Intel::ADDR,ABUSE-CH,F,THREATFOX
13.124.135.131,Intel::ADDR,ABUSE-CH,F,THREATFOX
13.124.135.131,Intel::ADDR,ABUSE-CH,F,THREATFOX
80.64.19.129,Intel::ADDR,ABUSE-CH,F,THREATFOX
80.64.19.129,Intel::ADDR,ABUSE-CH,F,THREATFOX
185.196.11.223,Intel::ADDR,ABUSE-CH,F,THREATFOX
185.196.11.223,Intel::ADDR,ABUSE-CH,F,THREATFOX
164.68.120.30,Intel::ADDR,ABUSE-CH,F,THREATFOX
164.68.120.30,Intel::ADDR,ABUSE-CH,F,THREATFOX
69.88.157.4,Intel::ADDR,ABUSE-CH,F,THREATFOX
69.88.157.4,Intel::ADDR,ABUSE-CH,F,THREATFOX
196.251.115.20,Intel::ADDR,ABUSE-CH,F,THREATFOX
196.251.115.20,Intel::ADDR,ABUSE-CH,F,THREATFOX
152.32.212.63,Intel::ADDR,ABUSE-CH,F,THREATFOX
152.32.212.63,Intel::ADDR,ABUSE-CH,F,THREATFOX
15.184.167.201,Intel::ADDR,ABUSE-CH,F,THREATFOX
15.184.167.201,Intel::ADDR,ABUSE-CH,F,THREATFOX
15.184.167.201,Intel::ADDR,ABUSE-CH,F,THREATFOX
147.124.213.156,Intel::ADDR,ABUSE-CH,F,THREATFOX
3.144.47.213,Intel::ADDR,ABUSE-CH,F,THREATFOX
3.144.47.213,Intel::ADDR,ABUSE-CH,F,THREATFOX
3.144.47.213,Intel::ADDR,ABUSE-CH,F,THREATFOX
3.144.47.213,Intel::ADDR,ABUSE-CH,F,THREATFOX
3.144.47.213,Intel::ADDR,ABUSE-CH,F,THREATFOX
54.211.215.231,Intel::ADDR,ABUSE-CH,F,THREATFOX
13.246.240.217,Intel::ADDR,ABUSE-CH,F,THREATFOX
13.246.240.217,Intel::ADDR,ABUSE-CH,F,THREATFOX
54.211.215.231,Intel::ADDR,ABUSE-CH,F,THREATFOX
51.16.52.107,Intel::ADDR,ABUSE-CH,F,THREATFOX
16.63.233.91,Intel::ADDR,ABUSE-CH,F,THREATFOX
98.87.14.131,Intel::ADDR,ABUSE-CH,F,THREATFOX
98.87.14.131,Intel::ADDR,ABUSE-CH,F,THREATFOX
98.87.14.131,Intel::ADDR,ABUSE-CH,F,THREATFOX
